latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.690685,-79.41174,99,-14400,America/Toronto,GMT-4
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),surface_pressure (hPa)
2024-03-01T00:00,-5.6,53,0,6.2,1017.6
2024-03-01T01:00,-5.7,51,0,4.5,1017.8
2024-03-01T02:00,-4.7,48,0,4.4,1017.9
2024-03-01T03:00,-4,47,0,5.1,1017.7
2024-03-01T04:00,-3.3,48,0,4.9,1017.5
2024-03-01T05:00,-3,53,0,4.6,1017.6
2024-03-01T06:00,-2.5,58,0,5.3,1017.8
2024-03-01T07:00,-3.2,70,0,6.8,1017.8
2024-03-01T08:00,-3,80,0,9.3,1018
2024-03-01T09:00,-0.8,76,0,12.1,1018.2
2024-03-01T10:00,0.9,65,0,14.3,1018.4
2024-03-01T11:00,2.7,64,0,16.1,1018.2
2024-03-01T12:00,4.3,58,0,17.2,1017.7
2024-03-01T13:00,5.7,49,0,19.6,1017.2
2024-03-01T14:00,6.8,42,0,20.8,1016.3
2024-03-01T15:00,7.2,39,0,18.4,1015.5
2024-03-01T16:00,7.2,45,0,13.3,1014.9
2024-03-01T17:00,6.9,47,0,7.7,1013.7
2024-03-01T18:00,5.4,58,0,6.9,1013.2
2024-03-01T19:00,2.6,63,0,10.1,1012.8
2024-03-01T20:00,2.2,68,0,14.8,1013.2
2024-03-01T21:00,2.5,71,0,13.7,1012.1
2024-03-01T22:00,2.4,75,0,8.9,1011.6
2024-03-01T23:00,2.9,71,0,11.4,1011.3
2024-03-02T00:00,2.7,68,0,11.1,1011.3
2024-03-02T01:00,3,63,0,12.6,1011.3
2024-03-02T02:00,2.5,66,0,11.6,1011.3
2024-03-02T03:00,3.3,63,0,11.4,1011.2
2024-03-02T04:00,3.3,66,0,11.9,1010.6
2024-03-02T05:00,3.2,71,0,9.4,1009.8
2024-03-02T06:00,3.3,77,0,9,1009.8
2024-03-02T07:00,3.2,83,0.1,7.5,1009.9
2024-03-02T08:00,3,89,0.2,5.7,1010
2024-03-02T09:00,3.5,93,0.2,3.3,1009.7
2024-03-02T10:00,3.8,95,0.4,6.6,1009.8
2024-03-02T11:00,4,97,0.4,4.1,1009.7
2024-03-02T12:00,4.6,98,0.5,4.8,1009.5
2024-03-02T13:00,5.8,93,0.2,5.7,1009.4
2024-03-02T14:00,5.9,93,0,4,1009.1
2024-03-02T15:00,6.1,93,0,4.6,1008.7
2024-03-02T16:00,6.3,94,0,4.7,1008.2
2024-03-02T17:00,6.6,94,0,4.6,1008.1
2024-03-02T18:00,6.5,93,0,5.5,1008.3
2024-03-02T19:00,4.8,98,0,3.2,1008.8
2024-03-02T20:00,4.8,99,0,5.9,1008.9
2024-03-02T21:00,4.8,99,0,5,1009
2024-03-02T22:00,4.5,99,0,5.9,1009.1
2024-03-02T23:00,4.4,98,0,6.9,1009.4
2024-03-03T00:00,4.2,98,0,5.9,1009.6
2024-03-03T01:00,4,99,0,3.7,1009.7
2024-03-03T02:00,3.5,100,0,4.7,1009.9
2024-03-03T03:00,3.8,99,0,6.3,1010
2024-03-03T04:00,3.7,99,0,5.8,1010.1
2024-03-03T05:00,3.5,99,0,6.2,1010.3
2024-03-03T06:00,3.4,100,0,3.7,1010.8
2024-03-03T07:00,3.2,100,0,2.3,1011.2
2024-03-03T08:00,2.9,99,0,3.7,1011.3
2024-03-03T09:00,4.4,99,0,5.9,1012.1
2024-03-03T10:00,4.9,99,0,5.1,1012.4
2024-03-03T11:00,5.7,99,0,6.1,1012.6
2024-03-03T12:00,6.1,98,0,9,1012.5
2024-03-03T13:00,6.4,96,0,11.2,1012.3
2024-03-03T14:00,7.2,91,0,11.5,1012.4
2024-03-03T15:00,7.7,90,0,13,1011.6
2024-03-03T16:00,7.7,89,0,14.9,1011.3
2024-03-03T17:00,6.9,91,0,16,1011.6
2024-03-03T18:00,6.1,92,0,16.3,1011.4
2024-03-03T19:00,5.1,95,0,17.2,1011.4
2024-03-03T20:00,5,93,0,19.8,1011.5
2024-03-03T21:00,4.9,94,0,19.5,1010.9
2024-03-03T22:00,4.8,93,0,19.1,1010.7
2024-03-03T23:00,4.5,95,0,19.8,1010.5
2024-03-04T00:00,3.8,95,0,19.6,1010.2
2024-03-04T01:00,3.6,97,0,19.4,1009.9
2024-03-04T02:00,3.5,97,0,17.8,1010.1
2024-03-04T03:00,3.5,97,0,16.4,1010.1
2024-03-04T04:00,3.4,97,0,15.5,1010
2024-03-04T05:00,3.2,97,0,14.8,1009.6
2024-03-04T06:00,3.2,97,0,13.8,1009.6
2024-03-04T07:00,2.8,98,0,11.5,1010
2024-03-04T08:00,2.6,98,0,12.7,1010
2024-03-04T09:00,4.2,97,0,13.2,1009.8
2024-03-04T10:00,6.1,98,0,12.2,1010.1
2024-03-04T11:00,7.8,93,0,11.5,1010.2
2024-03-04T12:00,9.1,87,0,11.9,1009.8
2024-03-04T13:00,10,86,0,10,1009.5
2024-03-04T14:00,10.6,85,0,11.1,1008.6
2024-03-04T15:00,11.5,83,0,10.7,1007.8
2024-03-04T16:00,11.8,86,0,11.7,1007.2
2024-03-04T17:00,11.4,86,0,13.4,1006.6
2024-03-04T18:00,9.8,86,0,15.5,1006.4
2024-03-04T19:00,7.6,89,0,13.2,1006.2
2024-03-04T20:00,6.4,94,0,11,1006
2024-03-04T21:00,6.8,91,0,8.2,1005.4
2024-03-04T22:00,6.4,92,0,5.5,1005.3
2024-03-04T23:00,5,93,0,8.5,1004.9
2024-03-05T00:00,6.5,91,0,11.4,1005.1
2024-03-05T01:00,7,92,0,12.2,1004.9
2024-03-05T02:00,7.9,86,0,10.2,1005
2024-03-05T03:00,8.1,84,0,11.1,1005
2024-03-05T04:00,7.7,84,0,11.1,1004.9
2024-03-05T05:00,7.4,86,0,13.7,1004.4
2024-03-05T06:00,7.1,87,0,13.3,1004.8
2024-03-05T07:00,6.7,89,0,11.5,1005
2024-03-05T08:00,6.5,90,0,10.4,1005.1
2024-03-05T09:00,8.7,83,0,13,1003.7
2024-03-05T10:00,10.2,80,0,12.7,1003.5
2024-03-05T11:00,11.9,73,0,9.6,1003.1
2024-03-05T12:00,13.4,67,0,9.4,1002.3
2024-03-05T13:00,13.6,73,1.5,8.4,1001.7
2024-03-05T14:00,14.2,72,0.9,10,1000.8
2024-03-05T15:00,14.7,69,0,13.3,999.9
2024-03-05T16:00,14.9,72,0.2,9.7,999.7
2024-03-05T17:00,13.9,82,0,6.3,999.7
2024-03-05T18:00,12.1,89,0,6.1,999.9
2024-03-05T19:00,12.1,88,0,12,1000.6
2024-03-05T20:00,11.4,81,0,19.2,1000.8
2024-03-05T21:00,9.2,91,0,16,1001.2
2024-03-05T22:00,7.9,93,0.2,17.6,1001.6
2024-03-05T23:00,7.3,93,0.2,18,1001.7
2024-03-06T00:00,7,93,0.1,19.3,1001.7
2024-03-06T01:00,6.8,95,0.1,18.2,1002
2024-03-06T02:00,6.4,96,0.3,17.1,1002
2024-03-06T03:00,6.4,94,0.2,15.5,1002.3
2024-03-06T04:00,6.2,94,0,14.5,1002.4
2024-03-06T05:00,6,94,0,13.1,1002.5
2024-03-06T06:00,5.8,94,0,12.6,1003.2
2024-03-06T07:00,5.6,93,0,13.3,1003.5
2024-03-06T08:00,5.4,93,0,12.6,1004.4
2024-03-06T09:00,6.8,94,0,8.7,1004.5
2024-03-06T10:00,7.1,90,0,9.1,1005.1
